ds,yhat,yhat_lower,yhat_upper
2016-01-20,40.82229241208607,39.49048335200412,42.18936014709092
2016-01-21,40.89228754446875,39.56466126251998,42.284970952547276
2016-01-22,41.146943299012115,39.82342750905745,42.562853404885836
2016-01-25,41.206560872799315,39.82646744683219,42.613975246994215
2016-01-26,41.21222323789516,39.78854732269098,42.63877801288943
2016-01-27,41.360985290178725,40.0804116893111,42.78789832744704
2016-01-28,41.430980422561476,40.02179033782855,42.830831206444735
2016-01-29,41.685636177105,40.17154072934287,43.103604585838085
2016-02-01,37.511638390538685,35.953136805189644,39.145064401214036
2016-02-02,37.43240693823061,35.765742714992804,39.22672896517126
2016-02-03,37.489694262686164,35.81710683771799,39.19991914499958
2016-02-04,37.53319770846166,35.92278982420557,39.18804209392167
2016-02-05,37.63663232178725,35.83756171509616,39.332188243524854
2016-02-08,37.66200460834149,35.9433554146476,39.538560898203734
2016-02-09,37.582773156033596,35.940240261037836,39.22705575465708
2016-02-10,37.64006048048909,36.01585076201318,39.24770502041905
2016-02-11,37.68356392626461,35.84028983549019,39.43979322669502
2016-02-12,37.78699853959033,36.07734869947901,39.44016581094447
2016-02-16,37.73313937383657,35.89239475522224,39.504044619488816
2016-02-17,37.7904266982921,35.92237713013191,39.4599130545922
2016-02-18,37.833930144067615,36.02521752629225,39.69921463116964
2016-02-19,37.93736475739345,36.19164626486236,39.69140311562998
2016-02-22,37.962737043948025,36.330433594875274,39.671364325153256
2016-02-23,37.88350559163955,36.15013345814909,39.673928216883475
2016-02-24,37.94079291609511,36.23767507231504,39.541484020428555
2016-02-25,37.984296361870626,36.34200535701311,39.59221113275694
2016-02-26,38.08773097519616,36.24118080203388,39.9191056465892
2016-02-29,38.11310326175082,36.314929753643604,39.780718935053805
2016-03-01,34.710117297643755,33.45429219109964,35.97993049792393
2016-03-02,34.706138775833345,33.39029778531464,35.87656038665534
2016-03-03,34.700809662128655,33.41366652725344,36.01282721502899
2016-03-04,34.720291179959695,33.48922412238974,36.01437843427433
2016-03-07,34.59407259960326,33.3360858640329,35.861313349678326
2016-03-08,34.480351609179394,33.21507147190449,35.75943775044783
2016-03-09,34.47637308736905,33.21386302343026,35.754123873971515
2016-03-10,34.4710439736643,33.18245649236233,35.84012475877341
2016-03-11,34.49052549149566,33.117789348006994,35.72800586252273
2016-03-14,34.364306911139494,33.02461856590822,35.73612619089839
2016-03-15,34.2505859207152,33.012392923642125,35.49036386892347
2016-03-16,34.24660739890484,32.9254833488009,35.59168790873294
2016-03-17,34.241278285200096,32.901459682029,35.54548987289232
2016-03-18,34.260759803031625,32.90259515666092,35.62211170341376
2016-03-21,34.13454122267487,32.743451972903316,35.683162509410764
2016-03-22,34.02082023225101,32.742758763228,35.4314794857273
2016-03-23,34.01684171044063,32.62303846160961,35.3149443808194
2016-03-24,34.01151259673595,32.48633422923336,35.350028716576
2016-03-28,33.90477553421053,32.50297177136045,35.34413082653913
2016-03-29,33.79105454378682,32.370475905556354,35.23180195801472
2016-03-30,33.78707602197634,32.4716390632269,35.30926539628462
2016-03-31,33.78174690827167,32.342701433730845,35.3722803946012
2016-04-01,35.70137748240545,34.13151997870829,37.2888840823109
2016-04-04,35.67918997390949,34.09532678805834,37.253274710547565
2016-04-05,35.5910668358359,33.98684509212315,37.16158708258122
2016-04-06,35.6251534036764,33.95452058303675,37.18674297828761
2016-04-07,35.620692653194084,33.94539133868433,37.17673037334175
2016-04-08,35.62734049306535,33.96231328340668,37.25442599594632
2016-04-11,35.60515298456913,33.97529372433272,37.16999732518086
2016-04-12,35.51702984649584,33.99105349376749,37.21106144608532
2016-04-13,35.55111641433622,33.93817375748534,37.11235180360715
2016-04-14,35.54665566385389,33.93541919415715,37.091418744924056
2016-04-15,35.55330350372494,34.065417808973706,37.23797131744304
2016-04-18,35.53111599522885,33.87194656906825,37.118547717303805
2016-04-19,35.442992857155595,33.77211399555967,37.12479995626441
2016-04-20,35.477079424995964,33.884678240411155,37.07612490951686
2016-04-21,35.472618674513726,33.872621954377074,37.13155715900719
2016-04-22,35.47926651438486,33.826531830224134,37.15641582621734
2016-04-25,35.457079005888396,33.86821186916887,37.04635050637901
2016-04-26,35.368955867815295,33.73698082178938,36.99327469506674
2016-04-27,35.40304243565584,33.63543819508055,37.07075026231024
2016-04-28,35.39858168517351,33.811848964288224,37.00592592313947
2016-04-29,35.40522952504476,33.827793150177456,36.93663308662847
2016-05-02,36.34318288502732,34.6921081556419,37.87082391029316
2016-05-03,36.24223040324025,34.50579688764422,37.94209922076922
2016-05-04,36.290665320711206,34.65240004232104,37.877321758179136
2016-05-05,36.28225703876574,34.610436305091284,37.993487536658954
2016-05-06,36.30301889027595,34.59687262937443,37.93406000024264
2016-05-09,36.3343327315208,34.71295349350875,37.97234315503677
2016-05-10,36.23338024973383,34.70425227677277,37.9699010963546
2016-05-11,36.28181516720493,34.596375019790315,37.94260938930443
2016-05-12,36.273406885259426,34.709834192505504,37.937897447405796
2016-05-13,36.29416873676947,34.61260524303927,37.9841925232558
2016-05-16,36.325482578014295,34.75237376595744,38.060317593992664
2016-05-17,36.22453009622754,34.6702579370379,37.85112553205961
2016-05-18,36.2729650136984,34.64543985869168,37.925686523626474
2016-05-19,36.26455673175296,34.6761459388875,37.990173722161074
2016-05-20,36.285318583262864,34.59876600302528,37.9330971469435
2016-05-23,36.31663242450813,34.76182668007547,37.82503644197456
2016-05-24,36.21567994272112,34.55075052512262,37.83535218136159
2016-05-25,36.26411486019212,34.68243811536508,37.931332162871556
2016-05-26,36.25570657824659,34.65077918714903,37.88696958479227
2016-05-27,36.276468429756626,34.673004038419144,37.968483545337214
2016-05-31,36.20682978921477,34.528335525534715,37.87799296977892
2016-06-01,35.93543080086426,34.32223705934861,37.64872183865067
2016-06-02,35.92537680393988,34.29461776425291,37.38375759962914
2016-06-03,35.96026879837304,34.42903458759072,37.70861718186584
2016-06-06,35.956847828912935,34.365696406861396,37.62355044188651
2016-06-07,35.881307824871044,34.146797316049835,37.459093343400774
2016-06-08,35.91471386953813,34.39073490729493,37.523745463265634
2016-06-09,35.90465987261388,34.21323643241966,37.52772769253205
2016-06-10,35.93955186704708,34.4284201621865,37.51860662769679
2016-06-13,35.93613089758712,34.3341548681902,37.54387719455547
2016-06-14,35.86059089354497,34.17720517137138,37.43448764441608
2016-06-15,35.89399693821212,34.33393392515828,37.58871238184434
2016-06-16,35.883942941287856,34.28864528237028,37.60829445329901
2016-06-17,35.91883493572113,34.36423724105072,37.49813787333007
2016-06-20,35.91541396626089,34.369385908320254,37.4458294906615
2016-06-21,35.83987396221894,34.340647275979265,37.477562881726705
2016-06-22,35.87328000688607,34.36220571156906,37.58811616629701
2016-06-23,35.863226009961785,34.23330732168694,37.47395149685629
2016-06-24,35.898118004394895,34.34599235897926,37.55867001269281
2016-06-27,35.894697034934744,34.371043412068495,37.48765116120012
2016-06-28,35.81915703089291,34.296768289000994,37.52488141727299
2016-06-29,35.852563075560056,34.24075464149367,37.48165602789388
2016-06-30,35.84250907863574,34.21237846694637,37.46909459195613
2016-07-01,35.457733053414486,33.91056605582438,37.151159546845044
2016-07-05,35.37506702590089,33.95443185130815,37.01648041763829
2016-07-06,35.426096627390855,33.868189178981225,37.14826197877292
2016-07-07,35.413767321854046,33.82951304619624,36.912688635856064
2016-07-08,35.41180417936069,33.657474764216175,37.008306273096565
